timestamp,price
2025-05-30 00:00:00,105745.41660358038
2025-05-31 00:00:00,104010.91956242644
2025-06-01 00:00:00,104687.50742934884
2025-06-02 00:00:00,105710.00593822816
2025-06-03 00:00:00,105884.74263221149
2025-06-04 00:00:00,105434.47745144971
2025-06-05 00:00:00,104812.9182188067
2025-06-06 00:00:00,101650.7387545425
2025-06-07 00:00:00,104409.74967959142
2025-06-08 00:00:00,105681.4546141758
2025-06-09 00:00:00,105692.24740699006
2025-06-10 00:00:00,110261.57485948496
2025-06-11 00:00:00,110212.73252109604
2025-06-12 00:00:00,108679.9760916168
2025-06-13 00:00:00,105979.22902375912
2025-06-14 00:00:00,106045.56440819203
2025-06-15 00:00:00,105482.90611628917
2025-06-16 00:00:00,105554.49383061715
2025-06-17 00:00:00,106951.2720181497
2025-06-18 00:00:00,104683.42479835715
2025-06-19 00:00:00,104722.695052907
2025-06-20 00:00:00,104690.65002458123
2025-06-21 00:00:00,103290.105144757
2025-06-22 00:00:00,101532.5683847329
2025-06-23 00:00:00,100852.58264648831
2025-06-24 00:00:00,105511.62437933135
2025-06-25 00:00:00,105976.06929808448
2025-06-26 00:00:00,107238.53045016268
2025-06-27 00:00:00,106984.01253775663
2025-06-28 00:00:00,107078.91560644074
2025-06-28 01:50:28,107038.81742889203
